model,context,batch,path,H,P,G,mean_TTFT,P95_TTFT,max_TTFT,mean_TPOT,P95_TPOT,mean_completion_latency,P95_completion_latency,max_completion_latency
Llama-3.1-8B,LC126K,1,M3D_GPU,126000,128,32,0.024420468389186843,0.024420468389186843,0.024420468389186843,0.009781302913932909,0.009781302913932909,0.3276414110373045,0.3276414110373045,0.3276414110373045
Llama-3.1-8B,LC126K,1,M3D_NMP_UNIFORM,126000,128,32,0.01666777921722074,0.01666777921722074,0.01666777921722074,0.002028139216002153,0.002028139216002153,0.07954017270352033,0.07954017270352033,0.07954017270352033
Llama-3.1-8B,LC126K,1,M3D_NMP_CPA,126000,128,32,0.016560661508991815,0.016560661508991815,0.016560661508991815,0.0019209997137712251,0.0019209997137712251,0.07611170863213063,0.07611170863213063,0.07611170863213063
Llama-3.1-8B,LC126K,8,HBM_HOST_OFFLOAD,126000,128,32,0.1640524730993574,0.1640524730993574,0.1640524730993574,0.04693473076774596,0.04693473076774596,1.619029126899482,1.619029126899482,1.619029126899482
Llama-3.1-8B,LC126K,8,HBM_RESIDENT_WAVE,126000,128,32,0.3170456655285342,1.0403363029119468,1.5225300611675563,0.03834261327039713,0.042360191957772686,1.5056707907405409,1.7058706096574907,1.8393371556021245
Llama-3.1-8B,LC126K,8,HBM_BEST,126000,128,32,0.1640524730993574,0.1640524730993574,0.1640524730993574,0.04693473076774596,0.04693473076774596,1.619029126899482,1.619029126899482,1.619029126899482
Llama-3.1-8B,LC126K,8,M3D_GPU,126000,128,32,0.1617427275439854,0.1617427275439854,0.1617427275439854,0.044629859001288505,0.044629859001288505,1.5452732303728436,1.5452732303728436,1.5452732303728436
Llama-3.1-8B,LC126K,8,M3D_NMP_UNIFORM,126000,128,32,0.12908518039243344,0.12908518039243344,0.12908518039243344,0.01196777343751312,0.01196777343751312,0.5000864923320313,0.5000864923320313,0.5000864923320313
Llama-3.1-8B,LC126K,8,M3D_NMP_CPA,126000,128,32,0.12790717863179424,0.12790717863179424,0.12790717863179424,0.010789808439790459,0.010789808439790459,0.4623916124049061,0.4623916124049061,0.4623916124049061
Llama-3.1-8B,LC126K,32,HBM_HOST_OFFLOAD,126000,128,32,1.9187582038526205,1.9187582038526205,1.9187582038526205,0.9595406043906423,0.9595406043906423,31.664673090493345,31.664673090493345,31.664673090493345
Llama-3.1-8B,LC126K,32,HBM_RESIDENT_WAVE,126000,128,32,3.2683710111288775,6.908544582808662,6.908544582808662,0.040351402614084916,0.042360191957772686,4.519268852824986,7.723533409116053,7.723533409116053
