model,context,batch,path,Tmax_C,thermal_metric_type,thermal_phase,provenance,thermal_status,GPU_power_W,memory_power_W,package_power_W,energy_denominator,decode_J,decode_s,power_conservation,operator_reused,physical_signature,hotspot_component,hotspot_x,hotspot_y,hotspot_z,hotspot_die,thermal_solve_s,iterations,relative_residual,max_temperature_update_K
Llama-3.1-405B,LC64K,1,M3D_NMP_UNIFORM,74.98804678407612,WORKLOAD_SPECIFIC_STEADY_STATE,DECODE,,THERMAL_FEASIBLE,131.16115296692004,309.0686090095846,440.2297619764979,DECODE_ONLY,466.84295809305064,1.060452968915732,PASS,True,2fcecd86ccbe1599b61790bab556d55d334ecb78086df9888d84bc638a674dcd,gpu/FEOL,0.011195348,0.0007500000000000007,0.00037179,,7.268366599979345,2200,0.0005737573619198381,0.009153484392553585
Llama-3.1-405B,LC64K,1,M3D_NMP_CPA,71.98285410344243,WORKLOAD_SPECIFIC_STEADY_STATE,DECODE,,THERMAL_FEASIBLE,136.50502881432428,276.05541645560135,412.5604452699183,DECODE_ONLY,400.09674654734164,0.9697893996734723,PASS,True,2fcecd86ccbe1599b61790bab556d55d334ecb78086df9888d84bc638a674dcd,gpu/FEOL,0.011095348000000001,-0.0012500000000000011,0.00037179,,7.202504400047474,2180,0.0005987012543408022,0.009897680582437018
Llama-3.1-405B,LC64K,8,HBM_GPU,85.0,THERMAL_CLOSED_DESIGN_POINT,DESIGN_POINT,EXISTING_85C_BANDWIDTH_THERMAL_CLOSURE,THERMAL_CLOSED_DESIGN_POINT,,,,,,,,,,,,,,,,,,
Llama-3.1-405B,LC64K,8,M3D_GPU,85.0,THERMAL_CLOSED_DESIGN_POINT,DESIGN_POINT,EXISTING_85C_BANDWIDTH_THERMAL_CLOSURE,THERMAL_CLOSED_DESIGN_POINT,,,,,,,,,,,,,,,,,,
Llama-3.1-405B,LC64K,8,M3D_NMP_UNIFORM,81.01624342938015,WORKLOAD_SPECIFIC_STEADY_STATE,DECODE,,THERMAL_FEASIBLE,168.81372812923982,313.1811358980131,481.9948640272439,DECODE_ONLY,2465.2079885243984,5.114593894064834,PASS,True,2fcecd86ccbe1599b61790bab556d55d334ecb78086df9888d84bc638a674dcd,gpu/FEOL,0.011195348,0.0002500000000000002,0.00037179,,7.833558600046672,2230,0.0005850685962119688,0.007365353063635903
Llama-3.1-405B,LC64K,8,M3D_NMP_CPA,80.02543567761529,WORKLOAD_SPECIFIC_STEADY_STATE,DECODE,,THERMAL_FEASIBLE,176.7416457298966,294.3552335889358,471.09687931882326,DECODE_ONLY,2223.545848158807,4.719933299863653,PASS,True,2fcecd86ccbe1599b61790bab556d55d334ecb78086df9888d84bc638a674dcd,gpu/FEOL,0.011195348,-0.0002500000000000002,0.00037179,,7.666231599985622,2230,0.0005834811159036886,0.00733080666923629
Llama-3.1-405B,LC126K,1,HBM_GPU,85.0,THERMAL_CLOSED_DESIGN_POINT,DESIGN_POINT,EXISTING_85C_BANDWIDTH_THERMAL_CLOSURE,THERMAL_CLOSED_DESIGN_POINT,,,,,,,,,,,,,,,,,,
Llama-3.1-405B,LC126K,1,M3D_GPU,85.0,THERMAL_CLOSED_DESIGN_POINT,DESIGN_POINT,EXISTING_85C_BANDWIDTH_THERMAL_CLOSURE,THERMAL_CLOSED_DESIGN_POINT,,,,,,,,,,,,,,,,,,
Llama-3.1-405B,LC126K,1,M3D_NMP_UNIFORM,74.3266329785942,WORKLOAD_SPECIFIC_STEADY_STATE,DECODE,,THERMAL_FEASIBLE,135.00175772248824,298.3983946271513,433.40015234963226,DECODE_ONLY,515.6337649421414,1.1897406176409484,PASS,True,2fcecd86ccbe1599b61790bab556d55d334ecb78086df9888d84bc638a674dcd,gpu/FEOL,0.011195348,0.0007500000000000007,0.00037179,,7.26506080001127,2200,0.0005649800301813912,0.009573196050960107
Llama-3.1-405B,LC126K,1,M3D_NMP_CPA,71.38615155243156,WORKLOAD_SPECIFIC_STEADY_STATE,DECODE,,THERMAL_FEASIBLE,139.73722602709762,266.7117163960512,406.4489424231414,DECODE_ONLY,448.7342944970353,1.1040360735638568,PASS,True,2fcecd86ccbe1599b61790bab556d55d334ecb78086df9888d84bc638a674dcd,gpu/FEOL,0.011095348000000001,-0.0012500000000000011,0.00037179,,7.200558999960776,2180,0.0005891310491117357,0.009761747445300084
